,Name,Class,Rarity,Slot,Type,PVE Rating,PVP Rating,Link,Image
254,Eystein-D,-,Legendary,Kinetic,PulseRifle,3.7,4.5,https://www.light.gg/db/items/3199662972,https://www.bungie.net/common/destiny2_content/icons/cd44d2c9f75b9fc04cfe35db80ac0e87.jpg
255,Go Figure,-,Legendary,Kinetic,PulseRifle,4.8,3.9,https://www.light.gg/db/items/4138174248,https://www.bungie.net/common/destiny2_content/icons/35a2eed7b663e0c2636d6f9568acec22.jpg
256,Hailing Confusion,-,Legendary,Kinetic,PulseRifle,4.2,3.9,https://www.light.gg/db/items/2870169846,https://www.bungie.net/common/destiny2_content/icons/987ff5982ba87c077adb19df7930a947.jpg
257,Legal Action II,-,Legendary,Kinetic,PulseRifle,4.1,4.4,https://www.light.gg/db/items/3409645497,https://www.bungie.net/common/destiny2_content/icons/988aa410cbd1940e194f063ce7305857.jpg
258,Legal Action II,-,Legendary,Kinetic,PulseRifle,3,5,https://www.light.gg/db/items/1760543913,https://www.bungie.net/common/destiny2_content/icons/988aa410cbd1940e194f063ce7305857.jpg
259,Lincoln Green,-,Legendary,Kinetic,PulseRifle,3.5,3.8,https://www.light.gg/db/items/1513927138,https://www.bungie.net/common/destiny2_content/icons/9585d22deceb7ebf4e7d6853ce8333dc.jpg
260,Machina Dei 4,-,Legendary,Kinetic,PulseRifle,4.5,4.2,https://www.light.gg/db/items/161537636,https://www.bungie.net/common/destiny2_content/icons/e2cce13c79f2af2827038402007728e3.jpg
261,Magnum Shepherd,-,Legendary,Kinetic,PulseRifle,0,0,https://www.light.gg/db/items/210065223,https://www.bungie.net/common/destiny2_content/icons/d18e5d31b43090cced34819b4b83668e.jpg
262,New Purpose,-,Legendary,Kinetic,PulseRifle,4.1,4.7,https://www.light.gg/db/items/1780464822,https://www.bungie.net/common/destiny2_content/icons/4d74a4464b7712b94d7afadc9b740eb3.jpg
263,Nightshade,-,Legendary,Kinetic,PulseRifle,5,5,https://www.light.gg/db/items/339163900,https://www.bungie.net/common/destiny2_content/icons/59e8d862b6ed35e330cb48311460bd12.jpg
264,Nightshade,-,Legendary,Kinetic,PulseRifle,4,4,https://www.light.gg/db/items/792755504,https://www.bungie.net/common/destiny2_content/icons/59e8d862b6ed35e330cb48311460bd12.jpg
265,Piece of Mind,-,Legendary,Kinetic,PulseRifle,4.3,4.6,https://www.light.gg/db/items/2097055732,https://www.bungie.net/common/destiny2_content/icons/ca30d3a70241cee7bd68fc139feea695.jpg
266,Redrix's Broadsword,-,Legendary,Kinetic,PulseRifle,4.4,4.2,https://www.light.gg/db/items/1161276682,https://www.bungie.net/common/destiny2_content/icons/bfabb1da7614bc5eeb53983d180811a1.jpg
267,Redrix's Claymore,-,Legendary,Kinetic,PulseRifle,5,4.5,https://www.light.gg/db/items/191996029,https://www.bungie.net/common/destiny2_content/icons/bfabb1da7614bc5eeb53983d180811a1.jpg
268,Relentless,-,Legendary,Kinetic,PulseRifle,4,5,https://www.light.gg/db/items/1187594590,https://www.bungie.net/common/destiny2_content/icons/1075e2db6a02be3910e7c00a993d7117.jpg
269,Sacred Provenance,-,Legendary,Kinetic,PulseRifle,4.6,4.7,https://www.light.gg/db/items/2408405461,https://www.bungie.net/common/destiny2_content/icons/171e9f7193bb5619fbc49b3042f927db.jpg
270,Smite of Merain,-,Legendary,Kinetic,PulseRifle,4.8,3.6,https://www.light.gg/db/items/2221264583,https://www.bungie.net/common/destiny2_content/icons/e47393574637ea49389e500ab365b311.jpg
271,Smite of Merain (Harrowed),-,Legendary,Kinetic,PulseRifle,5,5,https://www.light.gg/db/items/3407395594,https://www.bungie.net/common/destiny2_content/icons/3fcdc4c1f4f866df39248a296ac710df.jpg
272,Stay Frosty,-,Legendary,Kinetic,PulseRifle,4.3,4.3,https://www.light.gg/db/items/2812100428,https://www.bungie.net/common/destiny2_content/icons/b2ac997e6c6c18ba735d3202cbd41fc9.jpg
273,Syncopation-53,-,Legendary,Kinetic,PulseRifle,4.5,4.2,https://www.light.gg/db/items/2856514843,https://www.bungie.net/common/destiny2_content/icons/8fba4bb117d4a60d493cfad491ec2358.jpg
274,The Marine,-,Legendary,Kinetic,PulseRifle,5,5,https://www.light.gg/db/items/3529780349,https://www.bungie.net/common/destiny2_content/icons/7b757c7f3f7e5c8e5459ac6dbfc1d6c8.jpg
275,The Messenger,-,Legendary,Kinetic,PulseRifle,4,4.6,https://www.light.gg/db/items/3796795102,https://www.bungie.net/common/destiny2_content/icons/8e6d292acefd2328141f01ed6a74bb9c.jpg
276,The Messenger,-,Legendary,Kinetic,PulseRifle,4.2,4.8,https://www.light.gg/db/items/3658188704,https://www.bungie.net/common/destiny2_content/icons/626846566f347b1b631321b2ce21e099.jpg
277,The Messenger (Adept),-,Legendary,Kinetic,PulseRifle,3.8,4.9,https://www.light.gg/db/items/1173780905,https://www.bungie.net/common/destiny2_content/icons/6f025b0f11d69548c8051d47ef9f7b28.jpg
278,The Messenger (Adept),-,Legendary,Kinetic,PulseRifle,5,5,https://www.light.gg/db/items/364665267,https://www.bungie.net/common/destiny2_content/icons/28033bd1b94a4ce6d5fe97b189ef3451.jpg
279,The Time-Worn Spire,-,Legendary,Kinetic,PulseRifle,4.1,4.1,https://www.light.gg/db/items/3593598010,https://www.bungie.net/common/destiny2_content/icons/54da6dc5ba16b1baee869816ef076864.jpg
280,The Time-Worn Spire,-,Legendary,Kinetic,PulseRifle,3.4,3.8,https://www.light.gg/db/items/4425887,https://www.bungie.net/common/destiny2_content/icons/54da6dc5ba16b1baee869816ef076864.jpg
281,Three Graves,-,Legendary,Kinetic,PulseRifle,0,0,https://www.light.gg/db/items/1587439031,https://www.bungie.net/common/destiny2_content/icons/bd542f24d685a011e1f2f586f9783dd7.jpg
282,Call to Serve,-,Legendary,Kinetic,ScoutRifle,5,3.5,https://www.light.gg/db/items/1885753222,https://www.bungie.net/common/destiny2_content/icons/bf9b2cb0d87c8e88fc83d9299f79e652.jpg
283,Does Not Compute,-,Legendary,Kinetic,ScoutRifle,3,2,https://www.light.gg/db/items/2278995296,https://www.bungie.net/common/destiny2_content/icons/ba784dba3e24223d756a104d0a094b2f.jpg
284,Does Not Compute,-,Legendary,Kinetic,ScoutRifle,0,0,https://www.light.gg/db/items/4193877020,https://www.bungie.net/common/destiny2_content/icons/ba784dba3e24223d756a104d0a094b2f.jpg
285,Frontier Justice,-,Legendary,Kinetic,ScoutRifle,3.7,4.3,https://www.light.gg/db/items/273396910,https://www.bungie.net/common/destiny2_content/icons/bb23a8d1ff999259b854a3e18d96d704.jpg
286,Garden Progeny 1,-,Legendary,Kinetic,ScoutRifle,3.5,3,https://www.light.gg/db/items/472169727,https://www.bungie.net/common/destiny2_content/icons/68d44f98ef85778908f80bdf742d35f5.jpg
287,Glissando-47,-,Legendary,Kinetic,ScoutRifle,5,4,https://www.light.gg/db/items/222606050,https://www.bungie.net/common/destiny2_content/icons/f834633cb16f72e96cf6bfcfd778b71f.jpg
288,Good Counsel IX,-,Legendary,Kinetic,ScoutRifle,4.5,4.5,https://www.light.gg/db/items/3435238843,https://www.bungie.net/common/destiny2_content/icons/85ae71df8255216db9f5c57b2695ade2.jpg
289,Haunted Earth,-,Legendary,Kinetic,ScoutRifle,0,0,https://www.light.gg/db/items/2625782212,https://www.bungie.net/common/destiny2_content/icons/5c20dadca7d1dd1b031ab1aab69d2d5e.jpg
290,Hung Jury SR4,-,Legendary,Kinetic,ScoutRifle,4.1,3.2,https://www.light.gg/db/items/4281371574,https://www.bungie.net/common/destiny2_content/icons/4d8a7aa72ddb66ccf676b4f12b7c856f.jpg
291,Hung Jury SR4,-,Legendary,Kinetic,ScoutRifle,4.2,3.6,https://www.light.gg/db/items/772231794,https://www.bungie.net/common/destiny2_content/icons/0eb010c046ffac57e5dcea927a48a93e.jpg
292,Hung Jury SR4,-,Legendary,Kinetic,ScoutRifle,4.2,3.1,https://www.light.gg/db/items/3832743906,https://www.bungie.net/common/destiny2_content/icons/36d51850be61ae9ed5cb9fd562ebe9fb.jpg
293,Hung Jury SR4 (Adept),-,Legendary,Kinetic,ScoutRifle,4.8,4.4,https://www.light.gg/db/items/4074251943,https://www.bungie.net/common/destiny2_content/icons/696f2fd9bc9795e8911a48ceffd9485d.jpg
294,Hung Jury SR4 (Adept),-,Legendary,Kinetic,ScoutRifle,4.3,3.4,https://www.light.gg/db/items/2883684343,https://www.bungie.net/common/destiny2_content/icons/b56991a5340ddc75700a682cdcea7b02.jpg
295,Hung Jury SR4 (Adept),-,Legendary,Kinetic,ScoutRifle,4.7,3.4,https://www.light.gg/db/items/681067419,https://www.bungie.net/common/destiny2_content/icons/5bb197620182e529c88a7c987fd655d5.jpg
296,Imperative,-,Legendary,Kinetic,ScoutRifle,3.6,3.7,https://www.light.gg/db/items/2314999489,https://www.bungie.net/common/destiny2_content/icons/7a75f2062ba5094b4f6b01487c71cf79.jpg
297,Jararaca-3sr,-,Legendary,Kinetic,ScoutRifle,4,3.6,https://www.light.gg/db/items/1851521408,https://www.bungie.net/common/destiny2_content/icons/ebdf499116616e47a980ad0b83aa9611.jpg
298,Last Rite,-,Legendary,Kinetic,ScoutRifle,3.2,3.5,https://www.light.gg/db/items/542573208,https://www.bungie.net/common/destiny2_content/icons/985411798dcc3602f3a8e11c4c76657d.jpg
299,Nameless Midnight,-,Legendary,Kinetic,ScoutRifle,5,3.3,https://www.light.gg/db/items/3040742682,https://www.bungie.net/common/destiny2_content/icons/32a6485fbc7f6d00f4f48eea7517d4ce.jpg
300,Nameless Midnight,-,Legendary,Kinetic,ScoutRifle,4.5,3.8,https://www.light.gg/db/items/996109059,https://www.bungie.net/common/destiny2_content/icons/32a6485fbc7f6d00f4f48eea7517d4ce.jpg
301,Nameless Midnight,-,Legendary,Kinetic,ScoutRifle,5,4,https://www.light.gg/db/items/1960218487,https://www.bungie.net/common/destiny2_content/icons/32a6485fbc7f6d00f4f48eea7517d4ce.jpg
302,Niflheim Frost,-,Legendary,Kinetic,ScoutRifle,5,4,https://www.light.gg/db/items/1350102270,https://www.bungie.net/common/destiny2_content/icons/ffb76ccca387a1ac3a1cf53b5cffad15.jpg
303,Night Watch,-,Legendary,Kinetic,ScoutRifle,4.6,4,https://www.light.gg/db/items/3504336176,https://www.bungie.net/common/destiny2_content/icons/e9592c20d3ccff66c72d0dc10edc8665.jpg
304,Patron of Lost Causes,-,Legendary,Kinetic,ScoutRifle,3.8,4.3,https://www.light.gg/db/items/2723241847,https://www.bungie.net/common/destiny2_content/icons/e7edef5ef70f6fb41034bf557f7b8feb.jpg
305,Perses-D,-,Legendary,Kinetic,ScoutRifle,4.5,3.6,https://www.light.gg/db/items/1019000888,https://www.bungie.net/common/destiny2_content/icons/56d2ebbfed8f11e2deb1a649ae0290fd.jpg
306,Purpose,-,Legendary,Kinetic,ScoutRifle,4.5,5,https://www.light.gg/db/items/2516360525,https://www.bungie.net/common/destiny2_content/icons/3e243f8704e4b7f06fe27db91c860175.jpg
307,Randy's Throwing Knife,-,Legendary,Kinetic,ScoutRifle,4.2,4.8,https://www.light.gg/db/items/3292795429,https://www.bungie.net/common/destiny2_content/icons/88fbb9eaf27d7811bfaf030e55988eba.jpg
308,Randy's Throwing Knife,-,Legendary,Kinetic,ScoutRifle,3.8,3.9,https://www.light.gg/db/items/3535742959,https://www.bungie.net/common/destiny2_content/icons/c60428b6bec9379191f6a423c6333db5.jpg
309,Servant Leader,-,Legendary,Kinetic,ScoutRifle,4.4,4.2,https://www.light.gg/db/items/1107446438,https://www.bungie.net/common/destiny2_content/icons/b72a373f02f42d4712f3607724b9c13f.jpg
310,Song of Justice VI,-,Legendary,Kinetic,ScoutRifle,4.8,4.2,https://www.light.gg/db/items/3435238842,https://www.bungie.net/common/destiny2_content/icons/60f1fd19c0370036e7af0e8c31450ee7.jpg
311,Talons of the Eagle,-,Legendary,Kinetic,ScoutRifle,4,3.6,https://www.light.gg/db/items/1982711279,https://www.bungie.net/common/destiny2_content/icons/90ded30073de5046d17c5cbb1045531f.jpg
312,Taraxippos,-,Legendary,Kinetic,ScoutRifle,4.9,4.4,https://www.light.gg/db/items/1389546626,https://www.bungie.net/common/destiny2_content/icons/51a06334eae19ca1a2ecbcd869d7cba9.jpg
313,Tears of Contrition,-,Legendary,Kinetic,ScoutRifle,4.6,4.3,https://www.light.gg/db/items/1366394399,https://www.bungie.net/common/destiny2_content/icons/b5bb55de6a6dacea23cb63626e06580f.jpg
314,Telemachus-C,-,Legendary,Kinetic,ScoutRifle,4,5,https://www.light.gg/db/items/541053086,https://www.bungie.net/common/destiny2_content/icons/66b8192b675db37c9d6f5d0a814c02e8.jpg
315,The Dream,-,Legendary,Kinetic,ScoutRifle,0,0,https://www.light.gg/db/items/3826803617,https://www.bungie.net/common/destiny2_content/icons/bdcb3934f96e748f26496f3c3e29f583.jpg
316,The Guiding Sight,-,Legendary,Kinetic,ScoutRifle,0,0,https://www.light.gg/db/items/3890960908,https://www.bungie.net/common/destiny2_content/icons/34a8be38259c01d4e0f2097dcada21b6.jpg
317,The Guiding Sight,-,Legendary,Kinetic,ScoutRifle,4.1,4,https://www.light.gg/db/items/1641430382,https://www.bungie.net/common/destiny2_content/icons/cd757973296eceb6dc7384e415dc9dd5.jpg
318,The Scholar,-,Legendary,Kinetic,ScoutRifle,2.7,3.8,https://www.light.gg/db/items/2478792241,https://www.bungie.net/common/destiny2_content/icons/3c726e362614149ef5942f1dcd6e4ec7.jpg
319,The Scholar (Adept),-,Legendary,Kinetic,ScoutRifle,3,4.7,https://www.light.gg/db/items/2386979999,https://www.bungie.net/common/destiny2_content/icons/89b518ffd161e5d3438f07ec6795498a.jpg
320,Transfiguration,-,Legendary,Kinetic,ScoutRifle,4,3.7,https://www.light.gg/db/items/3885259140,https://www.bungie.net/common/destiny2_content/icons/a8e4ad15ecf0dc1ef41e0635eb8a1eb7.jpg
321,Transfiguration,-,Legendary,Kinetic,ScoutRifle,4.1,4,https://www.light.gg/db/items/3799980700,https://www.bungie.net/common/destiny2_content/icons/4975d25cd6a8ce48ea04f346ee44b1bf.jpg
322,Wrong Side of Right,-,Legendary,Kinetic,ScoutRifle,4,3,https://www.light.gg/db/items/3957603605,https://www.bungie.net/common/destiny2_content/icons/926b3620c12f43a5f142b2eb7ab0804f.jpg
323,Astral Horizon,-,Legendary,Kinetic,Shotgun,4,4.2,https://www.light.gg/db/items/2653171213,https://www.bungie.net/common/destiny2_content/icons/425de08c74540b44cee65d336d603fe5.jpg
324,Astral Horizon,-,Legendary,Kinetic,Shotgun,3.1,3.8,https://www.light.gg/db/items/1697682876,https://www.bungie.net/common/destiny2_content/icons/36535279963b8333f93b79b74e59a7a3.jpg
325,Astral Horizon (Adept),-,Legendary,Kinetic,Shotgun,3.8,4.7,https://www.light.gg/db/items/854379020,https://www.bungie.net/common/destiny2_content/icons/adf4796a682a256ab99032d19f92b1f3.jpg
326,Astral Horizon (Adept),-,Legendary,Kinetic,Shotgun,3.2,5,https://www.light.gg/db/items/532746994,https://www.bungie.net/common/destiny2_content/icons/722a23e060746aee2090a548cbef6b02.jpg
327,Baligant,-,Legendary,Kinetic,Shotgun,2.5,5,https://www.light.gg/db/items/731147179,https://www.bungie.net/common/destiny2_content/icons/2b8ec80ce131f0f550e9147d68549487.jpg
328,Baligant XU7743,-,Legendary,Kinetic,Shotgun,3,4.6,https://www.light.gg/db/items/3461377698,https://www.bungie.net/common/destiny2_content/icons/1080358be0b79d84bc83f73d83f118a9.jpg
329,Blasphemer,-,Legendary,Kinetic,Shotgun,3.9,4.6,https://www.light.gg/db/items/2782847179,https://www.bungie.net/common/destiny2_content/icons/ecf8dd2ef1247260ebc509143c90482f.jpg
330,Dust Rock Blues,-,Legendary,Kinetic,Shotgun,3.5,4.9,https://www.light.gg/db/items/636912560,https://www.bungie.net/common/destiny2_content/icons/b75588fa9d07031d52df7efbb31b610b.jpg
331,Fortissimo-11,-,Legendary,Kinetic,Shotgun,4.5,4,https://www.light.gg/db/items/2821430069,https://www.bungie.net/common/destiny2_content/icons/928ce1e8cb47c3aae4631fd5429492bf.jpg
332,Fractethyst,-,Legendary,Kinetic,Shotgun,3.6,4.5,https://www.light.gg/db/items/3184681056,https://www.bungie.net/common/destiny2_content/icons/9feb11833613f20e0e9bab915c4fa47a.jpg
333,Hawthorne's Field-Forged Shotgun,-,Legendary,Kinetic,Shotgun,3,4,https://www.light.gg/db/items/731147177,https://www.bungie.net/common/destiny2_content/icons/7d16df996fe715aa03549ebce6baf271.jpg
334,Hawthorne's Field-Forged Shotgun,-,Legendary,Kinetic,Shotgun,4.2,3.6,https://www.light.gg/db/items/1807343361,https://www.bungie.net/common/destiny2_content/icons/7d16df996fe715aa03549ebce6baf271.jpg
335,Heritage,-,Legendary,Kinetic,Shotgun,4.8,4,https://www.light.gg/db/items/4248569242,https://www.bungie.net/common/destiny2_content/icons/07619f9f7115a2295c080f08179deb98.jpg
336,Imperial Decree,-,Legendary,Kinetic,Shotgun,3.4,4.8,https://www.light.gg/db/items/318443586,https://www.bungie.net/common/destiny2_content/icons/21f52e673f504d0b265c7bd5e6c8c99e.jpg
337,Imperial Decree,-,Legendary,Kinetic,Shotgun,4.1,4.2,https://www.light.gg/db/items/2919334548,https://www.bungie.net/common/destiny2_content/icons/21f52e673f504d0b265c7bd5e6c8c99e.jpg
338,No Reprieve,-,Legendary,Kinetic,Shotgun,4.4,3.4,https://www.light.gg/db/items/2531963421,https://www.bungie.net/common/destiny2_content/icons/8fc1ebb348ac04359092ee43d4c51ebb.jpg
339,One Small Step,-,Legendary,Kinetic,Shotgun,4.2,2.4,https://www.light.gg/db/items/1016668089,https://www.bungie.net/common/destiny2_content/icons/78a7c0769048bb3ed91ec929792ca3f8.jpg
340,Parcel of Stardust,-,Legendary,Kinetic,Shotgun,3.4,4.6,https://www.light.gg/db/items/2217366863,https://www.bungie.net/common/destiny2_content/icons/58e8e56999a2c7f771dfcb12bc987351.jpg
341,Perfect Paradox,-,Legendary,Kinetic,Shotgun,4,3,https://www.light.gg/db/items/2248667690,https://www.bungie.net/common/destiny2_content/icons/fb27afcf6cb34ca3ef2540af6b87c034.jpg
342,Perfect Paradox,-,Legendary,Kinetic,Shotgun,4.8,3.8,https://www.light.gg/db/items/3393519051,https://www.bungie.net/common/destiny2_content/icons/fb27afcf6cb34ca3ef2540af6b87c034.jpg
343,Ragnhild-D,-,Legendary,Kinetic,Shotgun,4.4,4.5,https://www.light.gg/db/items/4225322581,https://www.bungie.net/common/destiny2_content/icons/d87a5bdb49082ec4ded2b54038314056.jpg
344,Reckless Endangerment,-,Legendary,Kinetic,Shotgun,2.6,3.2,https://www.light.gg/db/items/3216652511,https://www.bungie.net/common/destiny2_content/icons/8ad4bf8073f313cddec7e02b6b3c72ed.jpg
345,Riiswalker,-,Legendary,Kinetic,Shotgun,2.6,4.3,https://www.light.gg/db/items/108221785,https://www.bungie.net/common/destiny2_content/icons/420f8b4de34a98ff1d8d8d992359eb6a.jpg
346,Threat Level,-,Legendary,Kinetic,Shotgun,4.5,3.6,https://www.light.gg/db/items/1664372054,https://www.bungie.net/common/destiny2_content/icons/b69872f33e6e36f254ccb7580a84a0cd.jpg
347,Toil and Trouble,-,Legendary,Kinetic,Shotgun,2.7,4.1,https://www.light.gg/db/items/2957367743,https://www.bungie.net/common/destiny2_content/icons/115ef9c0cdcc86324d953e0e6c46aa5b.jpg
348,Until Its Return,-,Legendary,Kinetic,Shotgun,4.9,2.8,https://www.light.gg/db/items/2883484461,https://www.bungie.net/common/destiny2_content/icons/22b89762c0df096a03f558161d9e01b7.jpg
349,Wastelander M5,-,Legendary,Kinetic,Shotgun,4.7,4.7,https://www.light.gg/db/items/1679868061,https://www.bungie.net/common/destiny2_content/icons/de438d2c498b727dfff7b997ba2e2263.jpg
350,Allied Demand,-,Legendary,Kinetic,Sidearm,4,4.2,https://www.light.gg/db/items/3166250992,https://www.bungie.net/common/destiny2_content/icons/f1f170ab479cdcfafe5080a4e833d7d5.jpg
351,Allied Demand,-,Legendary,Kinetic,Sidearm,2.3,2.3,https://www.light.gg/db/items/982229638,https://www.bungie.net/common/destiny2_content/icons/0924ea793e995c0d9791b7ef0078f6f7.jpg
352,Allied Demand,-,Legendary,Kinetic,Sidearm,3.1,4.3,https://www.light.gg/db/items/1532276803,https://www.bungie.net/common/destiny2_content/icons/0924ea793e995c0d9791b7ef0078f6f7.jpg
353,Athelflad-D,-,Legendary,Kinetic,Sidearm,4,3.5,https://www.light.gg/db/items/1533499360,https://www.bungie.net/common/destiny2_content/icons/44c82813a1759408bc4e7e73e48ed945.jpg
354,Boudica-C,-,Legendary,Kinetic,Sidearm,4,4.4,https://www.light.gg/db/items/1916287826,https://www.bungie.net/common/destiny2_content/icons/1efb8b659a3ba3b5e9c04098141809d0.jpg
355,Breachlight,-,Legendary,Kinetic,Sidearm,4.5,4,https://www.light.gg/db/items/1289997971,https://www.bungie.net/common/destiny2_content/icons/eb5d014d193dbb12cac96c0c483796a5.jpg
356,Buzzard,-,Legendary,Kinetic,Sidearm,4.4,3.9,https://www.light.gg/db/items/213264394,https://www.bungie.net/common/destiny2_content/icons/a4d80f7658370a29cdd70ef114e6b0bd.jpg
357,Buzzard,-,Legendary,Kinetic,Sidearm,4.4,3.6,https://www.light.gg/db/items/805677041,https://www.bungie.net/common/destiny2_content/icons/dccbe7cf982472e02a2d7ec56a9d6f55.jpg
358,Buzzard (Adept),-,Legendary,Kinetic,Sidearm,3.9,4.3,https://www.light.gg/db/items/927835311,https://www.bungie.net/common/destiny2_content/icons/bd5b65faa101cf45186da35ace129cfb.jpg
359,Controlling Vision,-,Legendary,Kinetic,Sidearm,5,5,https://www.light.gg/db/items/48361212,https://www.bungie.net/common/destiny2_content/icons/f9a3d9d16dabde612fd553532171b39e.jpg
360,Empirical Evidence,-,Legendary,Kinetic,Sidearm,3.5,3.5,https://www.light.gg/db/items/2607304614,https://www.bungie.net/common/destiny2_content/icons/97af54c6708760ad3e27ddc27fe1eb28.jpg
361,Enigma's Draw,-,Legendary,Kinetic,Sidearm,3,5,https://www.light.gg/db/items/2581162758,https://www.bungie.net/common/destiny2_content/icons/f030d461f27d32b25311eba2c906be59.jpg
362,Enigma's Draw,-,Legendary,Kinetic,Sidearm,3.4,4.4,https://www.light.gg/db/items/1723380073,https://www.bungie.net/common/destiny2_content/icons/f030d461f27d32b25311eba2c906be59.jpg
363,Farewell,-,Legendary,Kinetic,Sidearm,4,3.9,https://www.light.gg/db/items/541188001,https://www.bungie.net/common/destiny2_content/icons/a806e99524f2c9e465aacafb93940e13.jpg
364,High Albedo,-,Legendary,Kinetic,Sidearm,4.6,4,https://www.light.gg/db/items/1197486957,https://www.bungie.net/common/destiny2_content/icons/17f903a3d1550f2f4984dc5ed2717d63.jpg
365,Last of the Legion,-,Legendary,Kinetic,Sidearm,3,4,https://www.light.gg/db/items/2084611899,https://www.bungie.net/common/destiny2_content/icons/9e6b75da73f23824506ffdfcfde44847.jpg
366,Liminal Vigil,-,Legendary,Kinetic,Sidearm,4.6,4.7,https://www.light.gg/db/items/3138208275,https://www.bungie.net/common/destiny2_content/icons/fc58eadcd477da1a3e584ee363bb078e.jpg
367,Lonesome,-,Legendary,Kinetic,Sidearm,3.5,3.7,https://www.light.gg/db/items/2199171672,https://www.bungie.net/common/destiny2_content/icons/37a6e12e208b9560b2217dd694e8a323.jpg
368,Minimum Distance,-,Legendary,Kinetic,Sidearm,4,3,https://www.light.gg/db/items/1911843789,https://www.bungie.net/common/destiny2_content/icons/efb9651fd1bb84c9541fc00af95883d5.jpg
369,Mykel's Reverence,-,Legendary,Kinetic,Sidearm,4.6,3.7,https://www.light.gg/db/items/231031173,https://www.bungie.net/common/destiny2_content/icons/a21c38a2e55d4e1ffb1c77751e2fe580.jpg
370,Mykel's Reverence (Adept),-,Legendary,Kinetic,Sidearm,4.6,3.5,https://www.light.gg/db/items/1986287028,https://www.bungie.net/common/destiny2_content/icons/8ba4444d3d5981b066aecc06dcf385d3.jpg
371,Peace by Consensus,-,Legendary,Kinetic,Sidearm,3,2,https://www.light.gg/db/items/806021398,https://www.bungie.net/common/destiny2_content/icons/936dae295cf7a40c4ec7130aeba863c0.jpg
372,Peacebond,-,Legendary,Kinetic,Sidearm,4.2,3.8,https://www.light.gg/db/items/829330711,https://www.bungie.net/common/destiny2_content/icons/182a025c6e1464149f57e1ce1c3aff1e.jpg
373,Senuna SI6,-,Legendary,Kinetic,Sidearm,3.3,4.3,https://www.light.gg/db/items/5159537,https://www.bungie.net/common/destiny2_content/icons/fa8bcc459251fe018cb414a50bb94d58.jpg
374,Smuggler's Word,-,Legendary,Kinetic,Sidearm,5,4.4,https://www.light.gg/db/items/1843044399,https://www.bungie.net/common/destiny2_content/icons/ac36d550ddec3c05da403d0dbfb97a0b.jpg
375,Spoiler Alert,-,Legendary,Kinetic,Sidearm,4.3,3,https://www.light.gg/db/items/2588048270,https://www.bungie.net/common/destiny2_content/icons/030d58041314974902862885951fb957.jpg
376,Spoiler Alert,-,Legendary,Kinetic,Sidearm,4.5,3.8,https://www.light.gg/db/items/819358961,https://www.bungie.net/common/destiny2_content/icons/030d58041314974902862885951fb957.jpg
377,Vertical Orbit QSm,-,Legendary,Kinetic,Sidearm,0,0,https://www.light.gg/db/items/2812672356,https://www.bungie.net/common/destiny2_content/icons/7a083e6226dcae04d43cd098320918b5.jpg
378,A Distant Pull,-,Legendary,Kinetic,SniperRifle,4.3,4.7,https://www.light.gg/db/items/1769847435,https://www.bungie.net/common/destiny2_content/icons/e02734a955faef4b4946844301896593.jpg
379,Alone as a god,-,Legendary,Kinetic,SniperRifle,3,4.7,https://www.light.gg/db/items/3380742308,https://www.bungie.net/common/destiny2_content/icons/52d2c74f0abbdc5c559822af9863af5e.jpg
380,Bite of the Fox,-,Legendary,Kinetic,SniperRifle,2,5,https://www.light.gg/db/items/1403800851,https://www.bungie.net/common/destiny2_content/icons/f84547846cfd94081ca9ad5766c07c2b.jpg
381,Bite of the Fox,-,Legendary,Kinetic,SniperRifle,2.9,4.8,https://www.light.gg/db/items/3169616514,https://www.bungie.net/common/destiny2_content/icons/f84547846cfd94081ca9ad5766c07c2b.jpg
382,Defiance of Yasmin,-,Legendary,Kinetic,SniperRifle,4.6,4.7,https://www.light.gg/db/items/3228096719,https://www.bungie.net/common/destiny2_content/icons/0d2362114689cf93a8cb8b9c0eac5097.jpg
383,Defiance of Yasmin (Harrowed),-,Legendary,Kinetic,SniperRifle,4.3,4.7,https://www.light.gg/db/items/3503019618,https://www.bungie.net/common/destiny2_content/icons/b82e8de6477f03b716e90d5be299f70b.jpg
384,Dreaded Venture,-,Legendary,Kinetic,SniperRifle,4.5,4,https://www.light.gg/db/items/3100452337,https://www.bungie.net/common/destiny2_content/icons/4a1516fe53f3fae58cd7499eb2a0d300.jpg
385,Eye of Sol,-,Legendary,Kinetic,SniperRifle,3.4,4.4,https://www.light.gg/db/items/3164743584,https://www.bungie.net/common/destiny2_content/icons/0cf756959311a8a6ce9f4af10b5ef788.jpg
386,Eye of Sol (Adept),-,Legendary,Kinetic,SniperRifle,3.5,4.6,https://www.light.gg/db/items/3637570176,https://www.bungie.net/common/destiny2_content/icons/55ebf8f6a3718a9ee1134acc3fa67093.jpg
387,Irukandji,-,Legendary,Kinetic,SniperRifle,4.8,3,https://www.light.gg/db/items/2673925403,https://www.bungie.net/common/destiny2_content/icons/419076027986440657e61c49c5bdcf8d.jpg
388,Long Shadow,-,Legendary,Kinetic,SniperRifle,4.4,4,https://www.light.gg/db/items/3745990145,https://www.bungie.net/common/destiny2_content/icons/8f06841b740242e176b9185cfc390b6a.jpg
